language_name,language_code,modern_language,is_official,script_name,script_code,script_modern,is_rtl
Torwali,trw,True,False,Arabic,Arab,True,True
Tsakhur,tkr,True,False,Cyrillic,Cyrl,True,False
Tsakhur,tkr,True,False,Latin,Latn,True,False
Tsakonian,tsd,True,False,Greek,Grek,True,False
Tshangla,tsj,True,False,Tibetan,Tibt,True,False
Tsimshian,tsi,True,False,Latin,Latn,True,False
Tsonga,ts,True,False,Latin,Latn,True,False
Tswana,tn,True,True,Latin,Latn,True,False
Tulu,tcy,True,False,Kannada,Knda,True,False
Tumbuka,tum,True,False,Latin,Latn,True,False
Tunisian Arabic,aeb,True,False,Arabic,Arab,True,True
Turkish,tr,True,True,Arabic,Arab,True,True
Turkish,tr,True,True,Latin,Latn,True,False
Turkmen,tk,True,True,Arabic,Arab,True,True
Turkmen,tk,True,True,Cyrillic,Cyrl,True,False
Turkmen,tk,True,True,Latin,Latn,True,False
Turoyo,tru,True,False,Latin,Latn,True,False
Turoyo,tru,True,False,Syriac,Syrc,True,True
Tuvalu,tvl,True,True,Latin,Latn,True,False
Tuvinian,tyv,True,False,Cyrillic,Cyrl,True,False
Twi,tw,True,True,Unknown Script,Zzzz,True,False
Tyap,kcg,True,False,Latin,Latn,True,False
Uab Meto,aoz,True,False,Latin,Latn,True,False
Udihe,ude,True,False,Cyrillic,Cyrl,True,False
Udmurt,udm,True,False,Cyrillic,Cyrl,True,False
Udmurt,udm,True,False,Latin,Latn,True,False
Ugaritic,uga,False,False,Ugaritic,Ugar,False,False
Ukrainian,uk,True,True,Cyrillic,Cyrl,True,False
Ulithian,uli,True,False,Latin,Latn,True,False
Umbrian,xum,False,False,Latin,Latn,True,False
Umbrian,xum,False,False,Old Italic,Ital,False,True
Umbundu,umb,True,False,Latin,Latn,True,False
Unknown language,und,True,True,Gunjala Gondi,Gong,True,False
Unknown language,und,True,True,Hangul,Hang,True,False
Unknown language,und,True,True,Inherited,Zinh,True,False
Unknown language,und,True,True,Newa,Newa,True,False
Unknown language,und,True,True,Nyiakeng Puachue Hmong,Hmnp,True,False
Unknown language,und,True,True,Wancho,Wcho,True,False
Unknown language,und,True,True,Ahom,Ahom,False,False
Unknown language,und,True,True,Anatolian Hieroglyphs,Hluw,True,False
Unknown language,und,True,True,Bassa Vah,Bass,True,False
Unknown language,und,True,True,Bhaiksuki,Bhks,True,False
Unknown language,und,True,True,Brahmi,Brah,True,False
Unknown language,und,True,True,Chorasmian,Chrs,True,False
Unknown language,und,True,True,Cypro-Minoan,Cpmn,True,False
Unknown language,und,True,True,Dives Akuru,Diak,True,False
Unknown language,und,True,True,Dogra,Dogr,True,False
Unknown language,und,True,True,Elymaic,Elym,True,False
Unknown language,und,True,True,Glagolitic,Glag,True,False
Unknown language,und,True,True,Hatran,Hatr,True,True
Unknown language,und,True,True,Kaithi,Kthi,True,False
Unknown language,und,True,True,Kawi,Kawi,True,False
Unknown language,und,True,True,Kharoshthi,Khar,True,True
Unknown language,und,True,True,Khitan small script,Kits,True,False
Unknown language,und,True,True,Makasar,Maka,True,False
Unknown language,und,True,True,Marchen,Marc,True,False
Unknown language,und,True,True,Masaram Gondi,Gonm,True,False
Unknown language,und,True,True,Medefaidrin,Medf,True,False
Unknown language,und,True,True,Meroitic,Mero,True,False
Unknown language,und,True,True,Multani,Mult,True,False
Unknown language,und,True,True,Nag Mundari,Nagm,True,False
Unknown language,und,True,True,Nandinagari,Nand,True,False
Unknown language,und,True,True,Nüshu,Nshu,True,False
Unknown language,und,True,True,Old Hungarian,Hung,True,True
Unknown language,und,True,True,Old Sogdian,Sogo,True,False
Unknown language,und,True,True,Old Uyghur,Ougr,True,False
Unknown language,und,True,True,Pau Cin Hau,Pauc,True,False
Unknown language,und,True,True,SignWriting,Sgnw,True,False
Unknown language,und,True,True,Sogdian,Sogd,True,True
Unknown language,und,True,True,Soyombo,Soyo,True,False
Unknown language,und,True,True,Tangsa,Tnsa,True,False
Unknown language,und,True,True,Tangut,Tang,True,False
Unknown language,und,True,True,Toto,Toto,True,False
Unknown language,und,True,True,Vithkuqi,Vith,True,False
Unknown language,und,True,True,Yezidi,Yezi,True,True
Unknown language,und,True,True,Zanabazar Square,Zanb,True,False
Upper Sorbian,hsb,True,False,Latin,Latn,True,False
Urdu,ur,True,True,Arabic,Arab,True,True
Uyghur,ug,True,False,Arabic,Arab,True,True
Uyghur,ug,True,False,Cyrillic,Cyrl,True,False
Uyghur,ug,True,False,Latin,Latn,True,False
Uzbek,uz,True,True,Arabic,Arab,True,True
Uzbek,uz,True,True,Cyrillic,Cyrl,True,False
Uzbek,uz,True,True,Latin,Latn,True,False
Vai,vai,True,False,Latin,Latn,True,False
Vai,vai,True,False,Vai,Vaii,True,False
Venda,ve,True,False,Latin,Latn,True,False
Venetian,vec,True,False,Latin,Latn,True,False
Veps,vep,True,False,Latin,Latn,True,False
Vietnamese,vi,True,True,Han,Hani,True,False
Vietnamese,vi,True,True,Latin,Latn,True,False
Virgin Islands Creole English,vic,True,False,Latin,Latn,True,False
Volapük,vo,False,False,Latin,Latn,True,False
Võro,vro,True,False,Latin,Latn,True,False
Votic,vot,True,False,Latin,Latn,True,False
Vunjo,vun,True,False,Latin,Latn,True,False
Waddar,wbq,True,False,Telugu,Telu,True,False
